item_id,gold,question,umans_answers,umans_correct,umans_unknown,umans_stable,zai_answers,zai_correct,zai_unknown,zai_stable
arc-0084,D,A student investigates the effects of fertilizer on corn plants by performing the following steps.1. Plant groups of corn plants in the same type and amount of soil in full sunlight.2. Add the same amount of different brands of fertilizer to each group.3. Water the plants for 5 minutes each day.4. Measure the heights of the plants each day. What is the independent variable in this investigation?,D|D,2,0,True,D|D,2,0,True
arc-0085,A,The period of rotation for each planet in our solar system is different. The period of rotation for Earth is,A|A,2,0,True,A|A,2,0,True
arc-0086,A,"As early as the 1600s, scientists noticed that the continents appeared to fit together like pieces of a puzzle. The idea that the continents were once together and had drifted apart was not widely accepted. In the 1940s, technology used on submarines led to evidence of continental movement. This technology allowed the scientists to do which of these?",A|A,2,0,True,A|A,2,0,True
arc-0087,D,Which of the following statements is a scientific hypothesis?,D|D,2,0,True,D|D,2,0,True
arc-0088,C,A pitcher throws a 0.15 kg baseball at 43 40 m/s towards the catcher. What is the momentum of the baseball while moving at 40 m/s?,C|C,2,0,True,C|C,2,0,True
arc-0089,C,Which action explains how a somatic cell mutation can harm an organism?,C|C,2,0,True,C|C,2,0,True
arc-0090,A,What can most likely be seen without the aid of a telescope on a clear night?,A|A,2,0,True,A|A,2,0,True
arc-0091,D,The stem is an important part of many plants. Which of the following is most similar to the role performed by the stem of a plant?,D|D,2,0,True,D|D,2,0,True
arc-0092,D,"Students shake salt into a jar of water, and they shake pepper into a second jar of water. Which statement best compares the two jars?",D|D,2,0,True,D|D,2,0,True
arc-0093,A,The students in a class would like to make 20 paper sailboats for a race. The students will select one design and collect the materials they need to construct the boats. Which of the following is the best way for the students to be sure the paper sailboats will float without tipping over in the water?,A|A,2,0,True,A|A,2,0,True
arc-0094,B,A carbon monoxide detector is used in homes to,B|B,2,0,True,B|B,2,0,True
arc-0095,C,Gases can be easily compressed and are able to expand to fill their containers. These descriptions of gases are examples of,C|C,2,0,True,C|C,2,0,True
arc-0096,C,Experiments show that mice can learn to press a lever in order to acquire food. This learning ability can help mice survive in the wild by allowing them to,C|C,2,0,True,C|C,2,0,True
arc-0097,B,How are sedimentary rocks made?,B|B,2,0,True,B|B,2,0,True
arc-0098,B,Which structures are common to both plant and animal cells?,B|B,2,0,True,B|B,2,0,True
arc-0099,B,A polished metal ball looks very shiny and bright on a sunny day. What makes the ball look shiny?,B|B,2,0,True,B|B,2,0,True
